entity_id,sku,similarity_Original,similarity_Brightness,similarity_Contrast,similarity_Crop,similarity_Watermark,similarity_Scaling
228227,K22D23096-BLACK,1.0,1.0,0.96875,0.78125,1.0,1.0
283188,STY-7755-RED,1.0,0.96875,1.0,0.65625,1.0,1.0
344604,XINCHUANGYI23626-BLACK,1.0,0.96875,0.9375,0.6875,0.96875,1.0
401014,QI-H-9129-GREEN,1.0,0.9375,0.96875,0.625,1.0,1.0
345760,JC-9712-BLACK,1.0,0.96875,1.0,0.71875,1.0,1.0
328698,1228D-PINK,1.0,1.0,1.0,0.71875,1.0,1.0
423240,BQM-618-GREEN,1.0,0.96875,1.0,0.875,1.0,1.0
372731,TM19B002-B28-BLACK,1.0,0.96875,0.96875,0.75,1.0,1.0
312650,7956-MULTICOLOUR,1.0,0.96875,0.96875,0.71875,1.0,1.0
320085,WFK016-GREY,1.0,0.96875,0.96875,0.6875,1.0,1.0
360383,YJ23585DG-SILVER,1.0,0.96875,1.0,0.875,1.0,1.0
337664,XWID08405-BLACK AND WHITE,1.0,1.0,1.0,0.65625,1.0,1.0
266066,LG_SCRUNCHIES03,1.0,0.96875,0.96875,0.71875,1.0,1.0
369844,4016-1-SHRIMP POWDER,1.0,1.0,1.0,0.75,1.0,1.0
300920,D3512728K-ORANGE,1.0,0.96875,0.96875,0.71875,1.0,0.96875
217288,331-30-6531-BLACK,1.0,0.9375,0.96875,0.75,0.96875,0.96875
391797,A30204-ORANGE RED,1.0,0.90625,0.96875,0.8125,1.0,1.0
318519,JY23394MH-LIGHT APRICOT,1.0,0.9375,1.0,0.75,1.0,1.0
245761,MPSES101D177,1.0,1.0,1.0,0.8125,1.0,1.0
400044,6609-KHAKI,1.0,1.0,1.0,0.75,1.0,1.0
430189,W9311-WINE RED,1.0,0.9375,0.96875,0.75,1.0,1.0
209736,WG-60007-BLUE,1.0,0.9375,0.96875,0.65625,1.0,1.0
282609,LD-2686E-WHITE,1.0,1.0,0.96875,0.78125,1.0,1.0
317943,JSD710663-BLACK,1.0,1.0,1.0,0.78125,1.0,1.0
186635,22SD-JK9482-YELLOW,1.0,0.96875,1.0,0.71875,1.0,1.0
314816,CTDF2030-BLACK,1.0,0.96875,1.0,0.65625,1.0,1.0
382748,PG237-PINK,1.0,0.9375,1.0,0.71875,1.0,1.0
415962,81633-1-81633-3-LIGHT GREY,1.0,1.0,0.96875,0.6875,1.0,1.0
334823,YL20230311-11-LETTERS RED,1.0,1.0,1.0,0.625,1.0,1.0
424547,D4616582K-APRICOT,1.0,0.9375,0.96875,0.65625,1.0,1.0
432150,AMEP17778-DARK GREY,1.0,0.9375,0.96875,0.78125,1.0,1.0
329051,CDK6924-PINK,1.0,0.9375,0.9375,0.75,1.0,1.0
330297,M60185-BLUE,1.0,0.96875,1.0,0.75,1.0,1.0
368423,3036-1-BLACK,1.0,0.96875,1.0,0.6875,1.0,1.0
189359,GAGG0100F,1.0,0.96875,1.0,0.59375,1.0,1.0
360747,W23D27227-BLACK,1.0,0.96875,0.96875,0.625,1.0,1.0
403055,LG1078-BLUE WHITE,1.0,0.96875,1.0,0.75,1.0,1.0
275750,MVLSMLLSMM,1.0,1.0,1.0,0.75,1.0,1.0
258907,MSVTKC-134,1.0,0.9375,0.96875,0.84375,1.0,1.0
232383,STY-5746-KHAKI,1.0,0.96875,0.96875,0.8125,1.0,1.0
